id;start_date;end_date;language
1;2019-05-05T08:43:51;2019-05-05T01:52:08;FRENCH
2;2019-05-05T10:13:56;2019-05-04T19:20:06;FRENCH
3;2019-05-05T05:46:01;2019-05-04T21:10:01;FRENCH
4;2019-05-04T18:57:52;2019-05-05T02:24:54;FRENCH
5;2019-05-05T03:56:31;2019-05-05T08:40:40;FRENCH
6;2019-05-05T10:13:31;2019-05-05T11:30:28;FRENCH
7;2019-05-04T19:35:51;2019-05-05T08:16:38;FRENCH
8;2019-05-04T17:07:10;2019-05-05T01:07:19;FRENCH
9;2019-05-05T02:55:16;2019-05-05T11:19:54;FRENCH
10;2019-05-05T06:13:26;2019-05-05T03:29:40;FRENCH
